13:38:12.857 logback [http-nio-8092-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13:38:12.858 logback [http-nio-8092-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
13:38:15.559 logback [restartedMain] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 11.0.15.1 on bogon with PID 11027 (/Users/huhuijie/Documents/GitHub/springboot_apkparse/target/classes started by huhuijie in /Users/huhuijie/Documents/GitHub/springboot_apkparse)
13:38:15.566 logback [restartedMain] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
13:38:16.205 logback [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8092 (http)
13:38:16.215 logback [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8092"]
13:38:16.216 logback [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:38:16.216 logback [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
13:38:16.222 logback [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:38:16.222 logback [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 641 ms
13:38:16.253 logback [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
13:38:16.276 logback [restartedMain] WARN  o.s.b.a.f.FreeMarkerAutoConfiguration - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
13:38:16.283 logback [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
13:38:16.288 logback [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8092"]
13:38:16.291 logback [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8092 (http) with context path ''
13:38:16.296 logback [restartedMain] INFO  com.example.demo.DemoApplication - Started DemoApplication in 1.039 seconds (JVM running for 353.809)
13:38:16.297 logback [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
13:38:24.697 logback [http-nio-8092-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:38:24.700 logback [http-nio-8092-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13:38:24.701 logback [http-nio-8092-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
13:38:28.055 logback [restartedMain] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 11.0.15.1 on localhost with PID 11027 (/Users/huhuijie/Documents/GitHub/springboot_apkparse/target/classes started by huhuijie in /Users/huhuijie/Documents/GitHub/springboot_apkparse)
13:38:28.058 logback [restartedMain] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
13:38:28.279 logback [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8092 (http)
13:38:28.282 logback [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8092"]
13:38:28.282 logback [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
